,WVHT,DPD,APD,MWD,WTMP
3638,0.71,10.53,5.71,96.0,11.9
3639,0.72,8.33,6.06,92.0,11.9
3640,0.75,8.33,6.31,91.0,11.9
3654,0.71,8.33,6.53,98.0,12.1
3656,0.65,11.11,6.49,98.0,12.1
3658,0.68,7.69,6.45,96.0,11.9
3659,0.65,10.53,6.3,98.0,12.0
3661,0.69,11.76,6.54,99.0,11.9
3662,0.74,7.69,6.43,96.0,11.8
3663,0.67,7.69,6.33,98.0,11.8
3664,0.69,11.76,6.37,102.0,11.8
3665,0.73,10.53,6.43,105.0,11.8
3666,0.65,10.53,5.8,106.0,11.9
3667,0.65,11.11,6.01,106.0,12.0
3668,0.66,7.14,5.91,92.0,12.2
3669,0.66,11.76,5.76,109.0,12.4
3670,0.68,11.11,6.01,101.0,12.7
3671,0.65,11.76,5.82,115.0,12.9
3672,0.63,11.76,5.61,109.0,13.2
3673,0.6,11.11,5.62,101.0,13.3
3674,0.64,10.53,6.08,94.0,13.2
3675,0.6,11.11,5.57,98.0,12.9
3676,0.6,11.11,5.12,99.0,13.1
3677,0.59,10.53,4.65,95.0,13.2
3678,0.58,11.11,4.27,95.0,13.0
3679,0.6,11.11,4.43,101.0,13.3
3680,0.59,11.11,4.23,101.0,13.3
3681,0.58,11.11,3.93,99.0,13.3
3682,0.61,11.11,4.04,98.0,13.3
3683,0.61,10.53,4.03,98.0,13.1
3684,0.6,11.11,4.31,108.0,12.9
3685,0.58,10.53,4.4,99.0,12.9
3686,0.56,10.53,4.73,99.0,13.0
3687,0.55,10.53,5.08,111.0,12.9
3688,0.55,10.53,5.11,105.0,12.9
3689,0.52,10.53,5.22,99.0,12.7
3690,0.55,10.53,5.19,96.0,12.6
3691,0.55,10.53,4.56,106.0,12.5
3692,0.54,11.76,4.55,106.0,12.5
3693,0.58,9.88,4.81,104.0,12.4
3694,0.54,10.53,4.63,111.0,12.9
3695,0.54,10.53,4.9,99.0,12.8
3696,0.51,9.88,5.0,106.0,12.7
3697,0.49,10.53,5.12,101.0,12.6
3698,0.49,9.88,5.2,108.0,12.5
3699,0.48,6.25,5.22,122.0,12.5
3715,0.49,10.53,5.33,105.0,12.5
3716,0.48,5.56,5.1,111.0,12.7
3718,0.51,4.55,5.02,154.0,13.0
3719,0.53,4.17,4.86,163.0,13.2
3720,0.53,4.35,4.73,172.0,13.3
3721,0.52,4.35,4.72,163.0,13.5
3722,0.54,4.35,4.81,174.0,13.3
3723,0.55,4.17,4.73,172.0,13.1
3724,0.54,4.35,4.86,171.0,13.1
3725,0.51,4.35,4.69,171.0,13.1
3726,0.53,4.17,4.73,164.0,13.1
3727,0.52,4.17,4.38,168.0,13.1
3728,0.53,4.55,4.44,168.0,13.1
3729,0.59,4.55,4.43,165.0,13.1
3730,0.59,4.76,4.03,168.0,13.0
3731,0.7,4.55,3.81,171.0,12.9
3732,0.69,4.55,3.79,174.0,12.9
3733,0.73,5.0,4.07,171.0,12.8
3734,0.72,5.0,4.14,164.0,12.7
3735,0.77,5.0,4.23,168.0,12.7
3736,0.8,5.0,4.27,164.0,12.7
3737,0.87,5.0,4.41,160.0,12.7
3738,0.94,5.0,4.51,156.0,12.7
3739,1.01,5.26,4.48,146.0,12.6
3740,1.19,5.56,4.65,157.0,12.6
3741,1.2,5.26,4.83,154.0,12.6
3742,1.31,5.88,5.01,153.0,12.6
3743,1.51,6.25,5.35,156.0,12.6
3744,1.65,6.25,5.43,157.0,12.6
3767,1.65,9.09,6.11,140.0,12.0
3768,1.53,9.09,6.08,141.0,12.0
3769,1.56,9.09,5.86,140.0,12.0
3770,1.6,9.09,5.75,144.0,11.9
3771,1.5,9.09,5.51,143.0,11.9
3772,1.57,9.09,5.98,137.0,11.9
3773,1.4,8.33,5.82,141.0,11.9
3774,1.39,9.09,6.07,141.0,11.9
3775,1.35,8.33,6.04,139.0,11.9
3776,1.34,8.33,5.96,146.0,11.9
3777,1.19,8.33,5.54,139.0,12.5
3778,1.3,9.09,5.37,143.0,12.5
3779,1.37,9.09,5.12,139.0,12.4
3780,1.4,8.33,4.99,147.0,12.2
3781,1.45,8.33,4.73,144.0,12.2
3782,1.48,7.69,4.98,149.0,12.1
3783,1.52,8.33,4.92,146.0,12.0
3784,1.38,8.33,4.83,141.0,12.0
3785,1.49,8.33,5.11,151.0,11.9
3786,1.33,8.33,4.9,146.0,11.9
3787,1.36,8.33,5.01,143.0,11.9
3788,1.38,8.33,5.08,140.0,11.9
3789,1.33,7.69,5.41,150.0,11.9
3790,1.37,8.33,5.4,139.0,11.9
3791,1.29,8.33,5.14,149.0,11.8
3792,1.27,7.69,5.29,151.0,11.8
3793,1.19,7.69,5.16,156.0,11.8
3794,1.19,7.69,5.37,150.0,11.7
3795,1.14,7.69,5.54,153.0,11.7
3796,1.02,8.33,5.25,149.0,11.6
3797,1.13,7.69,5.28,156.0,11.6
3798,1.08,7.69,4.63,153.0,11.6
3799,1.12,7.69,4.24,158.0,11.5
3800,1.14,7.69,4.7,156.0,11.3
3801,0.95,7.69,4.34,151.0,11.2
3802,1.02,8.33,4.22,149.0,11.2
3803,0.98,8.33,4.18,146.0,11.1
3804,0.97,7.69,4.05,151.0,11.1
3805,0.97,7.69,3.95,157.0,11.1
3806,1.01,7.69,4.16,156.0,11.1
3807,0.92,7.14,3.94,170.0,11.1
3808,0.96,7.69,4.0,153.0,11.2
3809,0.96,7.69,4.11,161.0,11.2
3810,0.97,7.69,4.23,160.0,11.3
3811,0.9,7.14,3.98,167.0,11.4
3812,0.9,7.14,4.03,165.0,11.3
3813,0.97,7.14,4.06,161.0,11.4
3814,1.0,7.69,4.16,160.0,11.4
3815,1.09,7.69,4.17,161.0,11.5
3816,1.08,7.69,4.21,160.0,11.5
3829,1.04,5.0,4.25,186.0,11.5
3831,0.93,5.26,4.37,185.0,11.6
3832,0.87,7.14,4.36,170.0,11.6
3834,0.78,7.69,4.46,168.0,11.6
3835,0.77,6.67,4.56,168.0,11.6
3836,0.7,7.14,4.36,164.0,11.6
3837,0.72,6.67,4.56,170.0,11.5
3838,0.73,6.67,4.47,177.0,11.5
3839,0.68,7.14,4.34,170.0,11.5
3840,0.65,6.67,4.24,170.0,11.5
3841,0.66,6.67,4.09,172.0,11.5
3842,0.62,6.67,4.11,172.0,11.5
3843,0.62,6.67,4.52,179.0,11.5
3844,0.6,7.69,4.88,160.0,11.5
3845,0.58,6.67,4.54,178.0,11.5
3846,0.58,6.67,4.55,177.0,11.5
3847,0.58,7.14,4.84,171.0,11.5
3848,0.56,5.88,4.97,181.0,11.5
3849,0.54,6.25,5.09,181.0,11.5
3850,0.54,5.88,4.97,186.0,11.5
3851,0.56,7.14,5.3,170.0,11.5
3852,0.49,5.88,5.15,186.0,11.5
3853,0.51,7.14,5.39,168.0,11.5
3854,0.48,7.14,5.26,175.0,11.5
3879,0.48,7.69,3.9,141.0,12.0
3924,0.5,8.33,4.99,118.0,13.6
3925,0.57,4.76,4.87,123.0,13.5
3926,0.73,5.26,4.81,146.0,13.2
3927,0.86,5.56,4.76,139.0,13.1
3928,0.81,5.56,4.6,147.0,13.1
3929,0.85,5.56,4.62,144.0,13.0
3930,0.89,5.56,4.69,153.0,13.0
3931,1.02,5.56,4.72,149.0,13.0
3932,1.08,5.88,4.62,151.0,12.9
3933,1.11,5.56,4.71,160.0,12.8
3934,1.11,5.88,4.7,154.0,12.8
3935,1.19,5.56,4.97,158.0,12.8
3936,1.17,5.88,5.04,156.0,12.8
3937,1.09,6.25,5.06,150.0,12.8
3938,1.27,6.67,5.26,150.0,12.8
3939,1.26,6.25,5.26,160.0,12.8
3940,1.42,6.25,5.37,160.0,12.8
3941,1.4,6.25,5.38,161.0,12.8
3942,1.47,7.14,5.68,157.0,12.8
3943,1.59,6.67,5.84,161.0,12.7
3944,1.45,7.14,5.68,150.0,12.7
3945,1.52,7.69,5.76,151.0,12.7
3946,1.48,8.33,6.04,147.0,12.6
3947,1.34,7.69,5.81,156.0,12.6
3948,1.27,7.69,5.9,156.0,12.6
3949,1.25,7.69,5.73,153.0,12.6
3950,1.24,7.69,5.67,154.0,12.7
3951,1.21,8.33,5.47,151.0,12.7
3952,1.24,7.69,5.55,154.0,12.8
3953,1.28,8.33,5.51,147.0,12.9
3954,1.34,7.69,5.06,154.0,12.9
3955,1.42,7.69,4.95,146.0,13.0
3956,1.39,7.69,5.09,153.0,13.0
3957,1.39,7.69,5.09,153.0,13.0
3958,1.42,7.69,5.36,157.0,13.1
3959,1.4,7.69,5.14,158.0,13.2
3960,1.39,8.33,5.14,161.0,13.2
3961,1.33,7.69,5.09,160.0,13.2
3962,1.29,7.69,5.21,161.0,13.3
3963,1.33,8.33,5.31,153.0,13.4
3964,1.3,8.33,5.5,154.0,13.3
3965,1.33,8.33,5.49,161.0,13.3
3966,1.29,8.33,5.5,163.0,13.2
3967,1.19,9.09,5.76,163.0,13.1
3968,1.19,9.09,5.05,164.0,13.0
3969,1.23,9.09,4.74,158.0,12.8
3970,1.26,9.88,4.29,164.0,12.7
3971,1.3,8.33,4.3,165.0,12.6
3974,1.3,9.09,4.36,156.0,12.4
3978,1.45,5.88,4.61,80.0,12.4
3980,1.38,5.88,4.47,78.0,12.4
3983,1.43,6.25,4.5,91.0,12.3
3984,1.41,6.25,4.48,82.0,12.3
3991,1.45,5.88,4.77,78.0,12.2
3992,1.39,8.33,4.76,94.0,12.2
3994,1.41,5.56,4.86,80.0,12.2
3995,1.36,5.56,4.65,82.0,12.2
3996,1.35,5.88,4.7,81.0,12.1
3998,1.43,6.25,4.74,81.0,12.1
3999,1.44,6.25,4.59,81.0,12.1
4000,1.56,6.25,4.75,82.0,12.1
4001,1.45,6.25,4.72,85.0,12.1
4002,1.49,5.88,4.79,87.0,12.1
4003,1.61,5.26,4.93,82.0,12.1
4004,1.51,5.56,4.87,82.0,12.1
